1, Addison-Wesley , Foundations of Databases , 1995 ,,book
2, Freeman , Principles of Database and Knowledge Base Systems , 1998 ,55,book
3, Addison-Wesley , Implementation of Databases , 1998 ,,book
4, Freeman , Principles of Database and Knowledge Base Systems , 1998 ,100,book
5, ACM Press, Principles of Database and Knowledge Base Systems , 1998 ,,paper
6, IEEE Press , Cloud Azure , 2010 ,,paper
1, Addison-Wesley , Foundations of Databases , 1995 ,,book
2, Freeman , Principles of Database and Knowledge Base Systems , 1998 ,55,book
3, Addison-Wesley , Implementation of Databases , 1998 ,,book
4, Freeman , Principles of Database and Knowledge Base Systems , 1998 ,100,book
5, ACM Press, Principles of Database and Knowledge Base Systems , 1998 ,,paper
6, IEEE Press , Cloud Azure , 2010 ,,paper
1, Addison-Wesley , Foundations of Databases , 1995 ,,book
2, Freeman , Principles of Database and Knowledge Base Systems , 1998 ,55,book
3, Addison-Wesley , Implementation of Databases , 1998 ,,book
4, Freeman , Principles of Database and Knowledge Base Systems , 1998 ,100,book
5, ACM Press, Principles of Database and Knowledge Base Systems , 1998 ,,paper
6, IEEE Press , Cloud Azure , 2010 ,,paper
1, Addison-Wesley , Foundations of Databases , 1995 ,,book
2, Freeman , Principles of Database and Knowledge Base Systems , 1998 ,55,book
3, Addison-Wesley , Implementation of Databases , 1998 ,,book
4, Freeman , Principles of Database and Knowledge Base Systems , 1998 ,100,book
5, ACM Press, Principles of Database and Knowledge Base Systems , 1998 ,,paper
6, IEEE Press , Cloud Azure , 2010 ,,paper
